time,0,0.5,1,2,3,4,5,6,7,8
A6,0,0.3,0.3,0.9,24.3,95.5,186.7,434.6,498.8,658.2
A47,0,7.4,22,84.9,221.7,346.3,402.6,601.4,586.7,710.3
B8,0,251.4,528.5,1738.2,3412.6,3608.4,3320.7,4371.7,3568.5,3528.9
D13,0,0,0,4.8,18.4,43.7,84.6,191.6,224.1,322.9
