time,0,0.5,1,2,3,4,5,6,7,8
A12,0,0,0,0.017771704,0.016036573,0.086179385,0.177138885,0.459701741,0.749546114,1
B8,0,0.053907422,0.139251427,0.328486894,0.657497676,0.813182118,1,0.90741155,0.808856866,0.618730918
E3,0,0.043642845,0.061453263,0.200152199,0.505291061,0.766941405,0.841715672,0.872024262,1,0.992348358
