time,0,0.5,1,2,3,4,5,6,7,8
A6,0,0,0,0,0.031558603,0.137339897,0.30045632,0.613211705,0.885366394,1
A47,0,0.011621294,0.058582637,0.133341461,0.325167433,0.431513344,0.619552662,0.72112938,0.860997896,1
B8,0,0.053907422,0.139251427,0.328486894,0.657497676,0.813182118,1,0.90741155,0.808856866,0.618730918
D13,0,0,0,0,0.020607059,0.05766052,0.116159592,0.302972273,0.624296564,1
