time,0,0.5,1,2,3,4,5,6,7,8
A12,0,2.6,3.6,0,9.8,28.9,59.6,117.3,150.3,175
B8,0,121.5,342.7,493.3,626.2,539.8,499.5,254.5,127.4,143.6
E3,0,13.2,33.5,123.2,279.9,346.1,330.6,387.5,248.5,276
